dx,gb,dz,gb_energy
1.9,1,3.2,1.028743196
1.9,1,3.3,1.014651201
1.9,1,3.4,1.00433699
1.9,1,3.5,0.997881298
1.9,1,3.6,0.995336432
2,1,0,0.99239983
2,1,0.1,0.994303646
2,1,0.2,0.999995765
2,1,0.3,1.009424163
2,1,0.4,1.022522318
2,1,0.5,1.039179931
2,1,0.6,1.059271066
2,1,0.7,1.082617479
2,1,0.8,1.109029274
2,1,0.9,1.166409855
2,1,1,1.108594611
2,1,1.1,1.082301077
2,1,1.2,1.059041653
2,1,1.3,1.039016186
2,1,1.4,1.022354309
2,1,1.5,1.009201857
2,1,1.6,0.99965264
2,1,1.7,0.993781142
2,1,1.8,0.991631708
2,1,1.9,0.993231346
2,1,2,0.998556176
2,1,2.1,1.007568958
2,1,2.2,1.020202317
2,1,2.3,1.036348796
2,1,2.4,1.05589639
2,1,2.5,1.078684195
2,1,2.6,1.104551879
2,1,2.7,1.133254678
2,1,2.8,1.113161838
2,1,2.9,1.086312254
2,1,3,1.062503602
2,1,3.1,1.041922655
2,1,3.2,1.024753624
2,1,3.3,1.011122161
2,1,3.4,1.001148801
2,1,3.5,0.994902907
2,1,3.6,0.992444462
2.1,1,0,0.990886328
2.1,1,0.1,0.992724477
2.1,1,0.2,0.998221864
2.1,1,0.3,1.007337555
2.1,1,0.4,1.020007586
2.1,1,0.5,1.036134166
2.1,1,0.6,1.055619502
2.1,1,0.7,1.0783098
2.1,1,0.8,1.10407628
2.1,1,0.9,1.132709147
2.1,1,1,1.114509036
2.1,1,1.1,1.087511911
2.1,1,1.2,1.063556003
2.1,1,1.3,1.042891762
2.1,1,1.4,1.025682079
2.1,1,1.5,1.012091268
2.1,1,1.6,1.002209161
2.1,1,1.7,0.996137246
2.1,1,1.8,0.993915037
2.1,1,1.9,0.995568119
2.1,1,2,1.001076878
2.1,1,2.1,1.01039725
2.1,1,2.2,1.023458165
2.1,1,2.3,1.040142215
2.1,1,2.4,1.06031238
2.1,1,2.5,1.083788425
2.1,1,2.6,1.110363964
2.1,1,2.7,1.16498846
2.1,1,2.8,1.108118728
2.1,1,2.9,1.08191133
2.1,1,3,1.058758226
2.1,1,3.1,1.038795586
2.1,1,3.2,1.022164979
2.1,1,3.3,1.008980687
2.1,1,3.4,0.999338796
2.1,1,3.5,0.993303553
2.1,1,3.6,0.990928117
2.2,1,0,0.990406466
2.2,1,0.1,0.992183494
2.2,1,0.2,0.997501217
2.2,1,0.3,1.006322394
2.2,1,0.4,1.018604385
2.2,1,0.5,1.034254797
2.2,1,0.6,1.053208532
2.2,1,0.7,1.075347897
2.2,1,0.8,1.100581354
2.2,1,0.9,1.12875909
2.2,1,1,1.12212885
2.2,1,1.1,1.094343136
2.2,1,1.2,1.069638153
2.2,1,1.3,1.048305571
2.2,1,1.4,1.030530458
2.2,1,1.5,1.016485085
2.2,1,1.6,1.006279753
2.2,1,1.7,1.000008273
2.2,1,1.8,0.997708456
2.2,1,1.9,0.999416689
2.2,1,2,1.005110229
2.2,1,2.1,1.014738759
2.2,1,2.2,1.028230925
2.2,1,2.3,1.045462497
2.2,1,2.4,1.066290199
2.2,1,2.5,1.090505653
2.2,1,2.6,1.117868077
2.2,1,2.7,1.133145515
2.2,1,2.8,1.104550174
2.2,1,2.9,1.078869829
2.2,1,3,1.056267089
2.2,1,3.1,1.03683804
2.2,1,3.2,1.020695257
2.2,1,3.3,1.007918337
2.2,1,3.4,0.998579771
2.2,1,3.5,0.992745513
2.2,1,3.6,0.990446833
2.3,1,0,0.990490044
2.3,1,0.1,0.992221303
2.3,1,0.2,0.997386368
2.3,1,0.3,1.005974153
2.3,1,0.4,1.017941162
2.3,1,0.5,1.033227413
2.3,1,0.6,1.051781735
2.3,1,0.7,1.073510317
2.3,1,0.8,1.098399513
2.3,1,0.9,1.126192335
2.3,1,1,1.131534506
2.3,1,1.1,1.102875202
2.3,1,1.2,1.077379923
2.3,1,1.3,1.055359671
2.3,1,1.4,1.037012588
2.3,1,1.5,1.022515211
2.3,1,1.6,1.011985232
2.3,1,1.7,1.005513905
2.3,1,1.8,1.003144724
2.3,1,1.9,1.004904979
2.3,1,2,1.010777899
2.3,1,2.1,1.020714872
2.3,1,2.2,1.034639711
2.3,1,2.3,1.052427333
2.3,1,2.4,1.073926217
2.3,1,2.5,1.098918038
2.3,1,2.6,1.127143816
2.3,1,2.7,1.130541803
2.3,1,2.8,1.102260022
2.3,1,2.9,1.076976531
2.3,1,3,1.054779457
2.3,1,3.1,1.035757212
2.3,1,3.2,1.019985128
2.3,1,3.3,1.007525747
2.3,1,3.4,0.998437916
2.3,1,3.5,0.992761149
2.3,1,3.6,0.990530695
2.4,1,0,0.990630193
2.4,1,0.1,0.992328476
2.4,1,0.2,0.997424461
2.4,1,0.3,1.005877214
2.4,1,0.4,1.017674508
2.4,1,0.5,1.032763469
2.4,1,0.6,1.051098897
2.4,1,0.7,1.072602614
